name,category,style,price,retailer,image_url,color,product_url
Shoe Rack - KSR 007,shoe rack,"wooden shoe cabinet, mahogany finish",34375,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/KSR007thumb.webp,mahogany,https://www.damro.lk/product/shoe-rack-ksr-007-m02
Akira Bedside Cupboard,bedside table,"bedside cupboard with drawer, light oak finish",15475,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Akirabedsidecupboard.webp,light oak,https://www.damro.lk/product/akira-bedside-cupboard-kcak-001
Clara Bedside Cupboard,bedside table,"round modern bedside cupboard, cream finish",69200,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772294714_1768995865_Clara-Preview.webp,cream,https://www.damro.lk/product/clara-bedside-cupboard-1
Florence Bedside Cupboard,bedside table,"compact bedside cupboard with drawer, black, cream finish",7900,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/KCIR01M42M50NEW-01THUMB.webp,"black, cream",https://www.damro.lk/product/florence-bedside-cupboard-kcir-001
Carlow Bedside Cupboard,bedside table,"modern bedside cupboard with 2 drawers, charcoal gray finish",41000,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772294721_1768987564_Carlow%20Preview.webp,charcoal gray,https://www.damro.lk/product/carlow-bedside-cupboard-1
Allyson Bedside Cupboard,bedside table,"bedside cupboard with drawer, cream, dark brown finish",22775,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Allysonbedsidecupboard.webp,"cream, dark brown",https://www.damro.lk/product/allyson-bedside-cupboard
Morgan Bedside Cupboard,bedside table,"modern bedside cupboard with 2 drawers, light gray finish",46000,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772294710_1772081403_Morgan%20Preview%20(1).webp,light gray,https://www.damro.lk/product/morgan-bedside-cupboard-1
Ornate 2 Door Wardrobe,wardrobe,"2 door wooden wardrobe, dark brown finish",77275,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1771901185_Ornate%202%20Door%20Wardrobe.webp,dark brown,https://www.damro.lk/product/ornate-2-door-wardrobe-kwo-002
Florence 2 Door Wardrobe,wardrobe,"2 door wardrobe with decorative panels, cream, dark brown finish",63100,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1771569579_Lora%202%20Door%20Wardrobe.webp,"cream, dark brown",https://www.damro.lk/product/florence-2-door-wardrobe-kwir-102
Snoopy Kids 2 Door Wardrobe,wardrobe,"kids 2 door wardrobe, sky blue finish",59775,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1771903023_Snoopy%20Kids%202%20Door%20Wardrobe.webp,sky blue,https://www.damro.lk/product/snoopy-kids-2-door-wardrobe
Origon 3 Door Wardrobe,wardrobe,"3 door wooden wardrobe, light oak finish",119775,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1771900965_Origon%203%20Door%20Wardrobe.webp,light oak,https://www.damro.lk/product/origon-3-door-wardrobe
Kalisto 3 Door Wardrobe,wardrobe,"3 door wardrobe with mirror, cream finish",124000,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1771588928_Kalisto%203%20Door%20Wardrobe.webp,cream,https://www.damro.lk/product/kalisto-3-door-wardrobe
Queenston 3 Door Wardrobe,wardrobe,"3 door wardrobe with drawers, charcoal gray finish",126275,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1771901803_Queenston%203%20Door%20Wardrobe.webp,charcoal gray,https://www.damro.lk/product/queenston-3-door-wardrobe
Allyson 4 Door Wardrobe,wardrobe,"4 door wardrobe, white finish",180675,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1771582063_Allyson%204%20Door%20Wardrobe.webp,white,https://www.damro.lk/product/allyson-4-door-wardrobe
Office Cupboard - KOC 135,cabinet,"low 2 door storage cupboard, dark brown finish",23500,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/KOC035thumb.webp,dark brown,https://www.damro.lk/product/office-cupboard-koc-135-m02-koc135-m01m02
Office Cupboard - KOC 114,cabinet,"2 door storage cupboard, light oak finish",32500,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1740468769_KOC014thumb.webp,light oak,https://www.damro.lk/product/office-cupboard-koc114-m32
Office Cupboard - KOC 163,cabinet,"2 door storage cupboard, light gray finish",29175,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1740480888_KOC063thumb.webp,light gray,https://www.damro.lk/product/office-cupboard-koc163
Cardiff Office Cupboard - KOC065,cabinet,"low 2 door storage cupboard, walnut finish",25200,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1770876671_KOC065-thumb.webp,walnut,https://www.damro.lk/product/cardiff-office-cupboard-koc065
Half Door Cupboard - KOC 052,bookshelf,"bookcase with open shelves above and doors below, light oak finish",61975,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1740468882_KOC052thumb.webp,light oak,https://www.damro.lk/product/half-door-cupboard-koc-052-m62-1
Half Door Cupboard - KOC 032,bookshelf,"bookcase with open shelves above and doors below, dark brown finish",45775,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1740655364_KOC032thumb.webp,dark brown,https://www.damro.lk/product/half-door-cupboard
3 x 2 Mirror,mirror,"modern wall mirror 36 x 24 inches with slim frame, frame in black white or gold",9500,Home 47,https://cdn.shopify.com/s/files/1/0274/7619/7487/products/IMG_4290.jpg,"black, white, gold",https://home47.shop/products/3-x-2-mirror-1
4 x 2 Mirror,mirror,"modern wall mirror 48 x 24 inches with slim frame, frame in black white or gold",11500,Home 47,https://cdn.shopify.com/s/files/1/0274/7619/7487/files/image00002_ed31adfe-4bc5-42e9-b67f-90346218ce82.jpg,"black, white, gold",https://home47.shop/products/4-x-2-mirror
5 x 2 Mirror,mirror,"minimal full length leaner mirror for bedroom or dressing room, frame in black white or gold",13500,Home 47,https://cdn.shopify.com/s/files/1/0274/7619/7487/products/IMG_4296.jpg,"black, white, gold",https://home47.shop/products/3-x-2-mirror
Round Mirror 2.0 Feet,mirror,"round wall mirror 24 inch diameter, minimal elegant gold frame",5850,Home 47,https://cdn.shopify.com/s/files/1/0274/7619/7487/files/image00026_71f5b53d-d2e5-454e-b407-ca6ab100c422.jpg,gold,https://home47.shop/products/round-mirror-2-5-feet
4 x 2 Wooden Mirror,mirror,"elegant wooden frame wall mirror 48 x 24 inches, hang or lean, horizontal or vertical",16500,Home 47,https://cdn.shopify.com/s/files/1/0274/7619/7487/files/IMG_7645.jpg,wooden,https://home47.shop/products/4-x-2-wooden-mirror
6 x 2 Wooden Mirror,mirror,"full length mirror with solid mahogany wooden frame, 71 x 23 inches",23500,Home 47,https://cdn.shopify.com/s/files/1/0274/7619/7487/products/IMG-20201021-WA0011-01.jpg,mahogany,https://home47.shop/products/6-x-2-wooden-mirror
Light Filtering Curtain 140cm x 240cm - Maroon,curtain,"semi blackout thermal insulated bedroom curtain, 1 panel 140cm wide x 240cm high",3950,House of Fashions,https://cdn.shopify.com/s/files/1/0668/2224/2579/files/DSC7436.jpg,maroon,https://houseoffashions.lk/products/light-filtering-curtains-for-bedroom-thermal-insulated-drapes-semi-blackout-privacy-enhancing-1-panel-140cm-w-x-240cm-h-marron
Blackout Curtain 140cm x 240cm - Red,curtain,"100% blackout thermal insulated bedroom curtain, 1 panel 140cm wide x 240cm high",3950,House of Fashions,https://cdn.shopify.com/s/files/1/0668/2224/2579/files/DSC7434.jpg,red,https://houseoffashions.lk/products/100-blackout-curtains-for-bedroom-thermal-insulated-drapes-privacy-sunlight-block-1-panel-140cm-w-x-240cm-h-red
